Date,Fiscal_Year,Province_No,Province,District,Police_Station,Crime_Category,Victim_Demographic,Cases_Reported,Status,Year
1/1/2019,2018/19,1,Koshi,Morang,Urlabari PS,Rape,Woman,6,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Sunsari,WCSC Inaruwa,Rape,Girl-Child,4,Decided,2019
1/1/2019,2018/19,1,Koshi,Jhapa,WCSC Birtamod,Rape,Woman,2,Decided,2019
1/1/2019,2018/19,1,Koshi,Dhankuta,Dhankuta Sadar PS,Rape,Woman,1,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Sankhuwasabha,WCSC Khandbari,Rape,Girl-Child,5,Decided,2019
1/1/2019,2018/19,1,Koshi,Terhathum,WCSC Myanglung,Rape,Woman,3,Decided,2019
1/1/2019,2018/19,1,Koshi,Ilam,WCSC Ilam,Rape,Girl-Child,3,Filed,2019
1/1/2019,2018/19,1,Koshi,Bhojpur,WCSC Bhojpur,Rape,Woman,0,Filed,2019
1/1/2019,2018/19,1,Koshi,Solukhumbu,WCSC Salleri,Rape,Girl-Child,6,Decided,2019
1/1/2019,2018/19,1,Koshi,Okhaldhunga,Siddhicharan PS,Rape,Girl-Child,3,Under Investigation,2019
1/1/2019,2018/19,1,Koshi,Khotang,WCSC Diktel,Rape,Woman,1,Decided,2019
1/1/2019,2018/19,1,Koshi,Udayapur,WCSC Gaighat,Rape,Girl-Child,1,Filed,2019
1/1/2019,2018/19,1,Koshi,Panchthar,WCSC Phidim,Rape,Girl-Child,4,Filed,2019
1/1/2019,2018/19,2,Madhesh,Siraha,WCSC Siraha,Rape,Girl-Child,4,Decided,2019
1/1/2019,2018/19,2,Madhesh,Saptari,WCSC Rajbiraj,Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,2,Madhesh,Dhanusha,Mithila PS,Rape,Woman,4,Under Investigation,2019
1/1/2019,2018/19,2,Madhesh,Mahottari,WCSC Gaur,Rape,Woman,4,Under Investigation,2019
1/1/2019,2018/19,2,Madhesh,Sarlahi,Haripurwa PS,Rape,Girl-Child,2,Under Investigation,2019
1/1/2019,2018/19,2,Madhesh,Bara,WCSC Birgunj,Rape,Girl-Child,9,Under Investigation,2019
1/1/2019,2018/19,2,Madhesh,Parsa,Pokhariya PS,Rape,Woman,3,Decided,2019
1/1/2019,2018/19,2,Madhesh,Rautahat,Chandrapur PS,Rape,Woman,3,Decided,2019
1/1/2019,2018/19,3,Bagmati,Kathmandu,Koteshwor PS,Rape,Woman,5,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Lalitpur,Godawari PS,Rape,Girl-Child,9,Decided,2019
1/1/2019,2018/19,3,Bagmati,Bhaktapur,Suryabinayak PS,Rape,Girl-Child,6,Decided,2019
1/1/2019,2018/19,3,Bagmati,Sindhulpalchok,WCSC Chautara,Rape,Woman,4,Decided,2019
1/1/2019,2018/19,3,Bagmati,Kavre,Panauti PS,Rape,Girl-Child,4,Decided,2019
1/1/2019,2018/19,3,Bagmati,Rasuwa,Dhunche PS,Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,3,Bagmati,Nuwakot,WCSC Bidur,Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,3,Bagmati,Chitwan,WCSC Bharatpur,Rape,Woman,3,Filed,2019
1/1/2019,2018/19,3,Bagmati,Makwanpur,Thaha PS,Rape,Woman,6,Decided,2019
1/1/2019,2018/19,3,Bagmati,Dhading,Dhading PS,Rape,Woman,4,Decided,2019
1/1/2019,2018/19,3,Bagmati,Sindhuli,Kamalamai PS,Rape,Girl-Child,2,Under Investigation,2019
1/1/2019,2018/19,3,Bagmati,Ramechhap,Manthali PS,Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,3,Bagmati,Dolakha,WCSC Dolakha,Rape,Woman,5,Filed,2019
1/1/2019,2018/19,4,Gandaki,Kaski,WCSC Baidam Pokhara,Rape,Woman,4,Filed,2019
1/1/2019,2018/19,4,Gandaki,Syangja,Waling PS,Rape,Woman,2,Decided,2019
1/1/2019,2018/19,4,Gandaki,Tanahu,WCSC Damauli,Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,4,Gandaki,Lamjung,WCSC Besisahar,Rape,Woman,2,Decided,2019
1/1/2019,2018/19,4,Gandaki,Gorkha,Gorkha Sadar PS,Rape,Girl-Child,1,Under Investigation,2019
1/1/2019,2018/19,4,Gandaki,Mustang,WCSC Jomsom,Rape,Woman,2,Decided,2019
1/1/2019,2018/19,4,Gandaki,Baglung,Baglung Sadar PS,Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,4,Gandaki,Parbat,Parbat PS,Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,4,Gandaki,Nawalpur,Nawalpur PS,Rape,Woman,0,Decided,2019
1/1/2019,2018/19,5,Lumbini,Rupandehi,WCSC Bhairahawa,Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,5,Lumbini,Kapilvastu,Kapilvastu Sadar PS,Rape,Woman,3,Decided,2019
1/1/2019,2018/19,5,Lumbini,Arghakhanchi,WCSC Sandhikharka,Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,5,Lumbini,Palpa,Palpa PS,Rape,Girl-Child,0,Filed,2019
1/1/2019,2018/19,5,Lumbini,Nawalparasi (E),WCSC Parasi,Rape,Girl-Child,2,Under Investigation,2019
1/1/2019,2018/19,5,Lumbini,Gulmi,Gulmi Sadar PS,Rape,Woman,5,Filed,2019
1/1/2019,2018/19,5,Lumbini,Dang,Dang PS,Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,5,Lumbini,Banke,Kohalpur PS,Rape,Woman,2,Decided,2019
1/1/2019,2018/19,5,Lumbini,Bardiya,Bardiya PS,Rape,Woman,3,Decided,2019
1/1/2019,2018/19,5,Lumbini,Rolpa,WCSC Rolpa,Rape,Woman,6,Decided,2019
1/1/2019,2018/19,5,Lumbini,Eastern Rukum,WCSC Rukum,Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,5,Lumbini,Pyuthan,WCSC Pyuthan,Rape,Woman,2,Under Investigation,2019
1/1/2019,2018/19,6,Karnali,Surkhet,Bheriganga PS,Rape,Woman,2,Under Investigation,2019
1/1/2019,2018/19,6,Karnali,Dailekh,WCSC Dailekh,Rape,Girl-Child,3,Decided,2019
1/1/2019,2018/19,6,Karnali,Dolpa,Dolpa PS,Rape,Girl-Child,2,Decided,2019
1/1/2019,2018/19,6,Karnali,Humla,WCSC Simikot,Rape,Girl-Child,1,Filed,2019
1/1/2019,2018/19,6,Karnali,Jumla,WCSC Khalanga Jumla,Rape,Woman,1,Decided,2019
1/1/2019,2018/19,6,Karnali,Kalikot,WCSC Manma,Rape,Woman,0,Filed,2019
1/1/2019,2018/19,6,Karnali,Mugu,Mugu PS,Rape,Girl-Child,4,Filed,2019
1/1/2019,2018/19,6,Karnali,Salyan,Bangad Kupinde PS,Rape,Woman,3,Decided,2019
1/1/2019,2018/19,6,Karnali,Western Rukum,Musikot PS,Rape,Girl-Child,1,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Kailali,Seti PS,Rape,Girl-Child,3,Under Investigation,2019
1/1/2019,2018/19,7,Sudurpashchim,Kanchanpur,WCSC Mahendranagar,Rape,Woman,4,Decided,2019
1/1/2019,2018/19,7,Sudurpashchim,Dadeldhura,Amargadhi PS,Rape,Girl-Child,3,Decided,2019
